Port_Label,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value
"Haiti, Laffiteau",29,30.73,30.73,33.58
"Haiti, Port-au-Prince",55.64,55.69,54.85,54.85
"Honduras, Puerto Castilla",30.64,30.67,30.67,30.67
"Honduras, Puerto Cortes",156.2,137.98,135,134.34
"Honduras, Roatan I",8.31,8.31,8.31,8.31
"Honduras, San Lorenzo",22.71,22.89,22.89,23.04
"Iceland, Akureyri",19.59,19.59,19.59,19.59
"Iceland, Grundarfjordur, Sanafellness",30.55,30.48,30.48,30.48
"Iceland, Husavik",11.1,11.1,11.1,11.1
"Iceland, Isafjordur",19.59,19.59,19.59,19.59
"Iceland, Reydharfjordur",38.66,38.66,38.66,38.66
"Iceland, Reykjavik",56.94,56.94,56.94,56.94
"Iceland, Saudarkrok",19.59,19.59,19.59,19.59
"Iceland, Thorlakshofn",12.42,12.42,12.42,12.42
"Iceland, Vestmannaeyjar",22.45,22.46,22.46,22.46
"Iceland, Vopnafjordur",12.27,12.27,12.27,12.27
"India, Chennai",151.95,156.91,161.98,172.41
"India, Cochin",128.6,129.6,132.59,125.48
"India, Ennore",92.13,91.91,98.32,97.95
"India, Haldia",33.53,33.72,33.75,52.9
"India, Hazira",157.15,148.86,167.19,160.3
"India, Kandla",93.15,86.39,100.84,100.25
"India, Kattupalli",132.38,135.31,138.9,145.86
"India, Kolkata (Calcutta)",112.42,95.62,98.33,92.53
"India, Krishnapatnam",44.06,41.44,41.44,28.58
"India, Mangalore",39.73,36.99,46.5,61.88
"India, Mumbai",12.67,12.67,12.67,12.67
"India, Mundra",566.45,608.33,600.59,629.96
"India, New Mangalore",12.23,,,
"India, Nhava Sheva",576.51,614.7,588.88,602.71
"India, Paradip",12.83,19.69,19.69,19.47
"India, Pipavav",156.82,155.96,154.17,161.79
"India, Port Blair",10.72,10.72,10.72,10.72
"India, Tuticorin",85.56,79.56,79.26,85.3
"India, Visakhapatnam",147.32,154.61,158.74,144.07
"India, Vizhinjam",,,,14.39
"Indonesia, Ambon",29.33,29.47,29.47,29.47
"Indonesia, Balikpapan",28.71,28.76,28.76,28.76
"Indonesia, Banjarmasin",26.48,20.51,20.51,20.51
"Indonesia, Batam Island",13.95,26.56,26.58,26.58
"Indonesia, Batu Ampar",15.44,15.31,15.31,15.31
"Indonesia, Belawan",136.89,135.93,136.44,151.61
"Indonesia, Benete Bay",13.85,13.85,13.85,13.85
"Indonesia, Bengkulu",9.97,9.97,9.97,9.97
"Indonesia, Biak",9.7,9.7,9.7,9.7
"Indonesia, Bitung",43.19,43.23,43.23,43.23
"Indonesia, Gorontalo",18.54,18.53,18.53,18.53
"Indonesia, Jakarta",489.71,482.09,491.92,487.11
"Indonesia, Jayapura",30.28,30.42,30.42,30.42
"Indonesia, Kendari",15.39,15.4,15.4,15.4
"Indonesia, Kumai",7.67,6.95,6.95,6.95
"Indonesia, Kupang",15.52,15.52,15.52,15.52
"Indonesia, Lembar",7.93,7.93,7.93,7.93
"Indonesia, Luwuk",8.28,8.28,8.28,8.28
"Indonesia, Makassar",103.81,104.22,103.58,103.58
"Indonesia, Manokwari",9.08,9.08,9.08,9.08
"Indonesia, Maumere",8.9,8.9,8.9,8.9
"Indonesia, Medan",17.96,18.02,18.02,18.02
"Indonesia, Merauke",7.26,7.26,7.26,7.26
"Indonesia, Padang",35.36,33.86,33.86,33.86
"Indonesia, Palembang",28.16,26.66,26.66,26.66
"Indonesia, Panjang",56.69,56.7,49.43,38.56
"Indonesia, Pantoloan",21.78,21.78,21.78,21.78
"Indonesia, Pekanbaru, Sumatra",8.53,8.53,8.53,8.53
"Indonesia, Perawang",8.62,8.62,8.62,8.62
"Indonesia, Pontianak",36.83,31.06,31.06,31.06
"Indonesia, Samarinda",28.02,28.02,28.02,28.02
"Indonesia, Semarang",112.18,118.26,131.88,121.11
"Indonesia, Sibolga",8.54,8.54,8.54,8.54
"Indonesia, Sorong",24.31,24.45,24.45,24.45
"Indonesia, Surabaya",359.2,367.24,360.47,354.13
"Indonesia, Tarakan",8.63,8.63,8.63,8.63
"Indonesia, Ternate",9.34,9.34,9.34,9.34
"Indonesia, Timika",7.26,7.26,7.26,7.26
"Indonesia, Tolitoli",7.16,7.16,7.16,7.16
"Iran (Islamic Republic of), Asaluyeh",7.18,7.18,7.18,7.18
"Iran (Islamic Republic of), Bandar Abbas",127.11,119.67,120.97,120.97
"Iran (Islamic Republic of), Bandar Assaluyeh",12.33,12.41,12.41,12.41
"Iran (Islamic Republic of), Bandar Imam Khomeini",14.29,14.29,14.29,14.29
"Iran (Islamic Republic of), Bushehr",15.54,15.55,15.55,15.55
"Iran (Islamic Republic of), Chah bahar",10.81,10.89,10.89,10.89
"Iran (Islamic Republic of), Khorramshahr",7.52,7.54,7.54,7.54
"Iraq, Abu al Fulus",9.46,9.48,9.48,9.48
"Iraq, Umm Qasr",166.33,171.14,178.88,188.4
"Ireland, Cork",83.67,82.95,74.85,76.12
"Ireland, Dublin",116.69,127.9,133.25,141.9
"Ireland, Waterford",14.44,12.28,12.28,12.28
"Israel, Ashdod",214.06,211.32,185.7,183.42
"Israel, Haifa",207.9,205.26,183.14,184.54
"Italy, Ancona",82.36,79.22,77.98,78.06
"Italy, Augusta",,21.29,21.52,21.52
"Italy, Bari",18.91,19.09,19.09,19.09
"Italy, Cagliari",27.1,26.08,26.09,26.09
"Italy, Catania",35.97,19.37,19.37,19.37
"Italy, Civitavecchia",93.05,85.9,85.73,85.73
"Italy, Genoa",425.25,418.25,411.65,415.87
"Italy, Gioia Tauro",313.85,314.86,315.94,317.81
"Italy, La Spezia",248.11,260.15,262.3,255.2
"Italy, Leghorn",169.31,165.28,166.44,156.05
"Italy, Marina di Carrara",27.29,26.54,26.54,26.54
"Italy, Naples",140.69,128.18,131.14,130.91
"Italy, Olbia",9.94,9.94,9.94,9.94
"Italy, Palermo",22.28,21.27,21.27,21.27
"Italy, Porto Marghera",15.81,15.82,15.82,15.82
"Italy, Pozzallo",10.96,11.12,11.12,11.12
"Italy, Ravenna",80.18,77.08,83.23,83.23
"Italy, Salerno",191.54,197.03,184.89,184.81
"Italy, Savona",13.4,21.87,22.5,22.5
"Italy, Taranto",31.55,31.54,19.63,20.03
"Italy, Trapani",22.38,24.51,25.24,25.24
"Italy, Trieste",158.36,154.56,156.04,158.56
"Italy, Vado Ligure",70.86,81.06,86.45,86.45
"Italy, Venice",113.01,106.79,112.27,106.31
"Jamaica, Kingston (JM)",295.52,300.78,309.87,304.81
"Jamaica, Montego Bay",18.22,16.71,20.35,25.13
"Japan, Aburatsu",14.83,14.83,14.83,14.83
"Japan, Akita",52.49,52.33,52.32,52.33
"Japan, Chiba",54.7,45.17,45.17,45.17
"Japan, Fukuyama",75,75.06,75.06,75.06
"Japan, Hachinoe",41.37,41.43,41.43,41.53
"Japan, Hakata",273.08,287.06,274.4,274.41
"Japan, Hamada",19.15,19.15,19.15,19.15
"Japan, Hibikishinko",34.65,38.57,38.57,38.57
"Japan, Hiroshima",111.65,111.72,120.41,120.41
"Japan, Hitachi",9.27,9.27,9.27,9.27
"Japan, Hitachinaka",55.7,55.67,56.33,56.41
"Japan, Hososhima",60.51,60.73,53.95,53.95
"Japan, Imabari",37.33,37.32,37.32,37.32
"Japan, Imari",49.7,49.76,49.76,49.76
"Japan, Ishikariwan Shinko",32.12,32.11,32.11,32.11
"Japan, Iwakuni",46.68,46.69,46.69,46.69
"Japan, Iyomishima",40.35,40.35,40.35,40.35
"Japan, Kanazawa",74.5,68.46,68.5,68.5
"Japan, Kashima",26.12,26.17,26.17,26.28
"Japan, Kawasaki",102.91,102.9,94.09,94.11
"Japan, Kitakyushu/Hibiki",41.28,41.31,41.31,41.31
"Japan, Kobe",577.76,571.71,559.77,561.61
"Japan, Kochi",29.01,29.76,22.23,22.23
"Japan, Kumamoto",11.55,11.55,11.55,11.55
"Japan, Kushiro",16.83,16.83,16.83,16.83
"Japan, Maizuru",37.36,37.42,37.42,37.52
"Japan, Matsuyama",60.7,60.96,61.03,61.03
"Japan, Miike",9.55,9.55,9.55,9.55
"Japan, Mitajiri",12.44,12.44,12.44,12.44
"Japan, Mizushima",95.64,95.7,95.77,95.77
"Japan, Moji",221.16,240.62,250.8,250.75
"Japan, Muroran",16.83,16.83,16.83,16.83
"Japan, Nagasaki",11.55,11.55,11.55,11.55
"Japan, Nagoya",527.67,542.6,521.25,525.31
"Japan, Naha",70.95,70.99,70.71,67.24
"Japan, Nakanoseki",10.52,10.52,10.52,10.52
"Japan, Naoetsu",23.75,23.74,23.74,23.74
"Japan, Niigata",71.96,71.95,71.98,71.99
"Japan, Oita",59.2,59.51,59.51,59.51
"Japan, Omaezaki",24.97,24.54,22.5,22.65
"Japan, Onahama",18.46,18.46,18.46,18.46
"Japan, Osaka",470.1,460.83,427.39,424.26
"Japan, Otake",7.85,7.85,7.85,7.85
"Japan, Otaru",13.98,13.98,13.98,13.98
"Japan, Sakaiminato",52.3,52.31,52.31,52.39
"Japan, Sakata",30.34,30.38,30.38,30.48
"Japan, Senboku",11.74,11.74,23,23.28
"Japan, Sendai",76.39,76.38,76.38,76.46
"Japan, Shibushi",62.04,62.25,62.25,62.25
"Japan, Shimizu",229.39,228.94,227.23,227.21
"Japan, Shimonoseki",10.09,9.96,11.13,11.13
"Japan, Takamatsu",60.34,60.4,60.4,60.4
"Japan, Tokushima",22.87,22.87,22.87,22.87
"Japan, Tokuyama",92.98,93.05,89.47,89.44
"Japan, Tokyo",593.47,583.87,576.72,574.78
"Japan, Tomakomai",77.24,78.03,78.25,78.26
"Japan, Toyama Shinko",56.84,56.82,56.86,64.48
"Japan, Toyohashi",19.7,19.7,19.7,26.52
"Japan, Tsuruga",33.52,33.52,33.52,33.52
"Japan, Ube",9.11,9.11,9.11,9.11
"Japan, Yatsushiro",31.58,31.88,31.88,31.88
"Japan, Yokkaichi",134.04,134.23,135.96,135.5
"Japan, Yokohama",728.78,719.33,711.39,711.01
"Jersey, St Helier",11.12,11.12,,
"Jordan, Aqaba",111.86,144.25,130.1,186.21
"Kenya, Mombasa",153.58,151.47,164.26,160.24
"Kiribati, Betio",26.48,26.01,26.01,25.97
"Kuwait, Shuaiba",57.22,64.31,64.23,64.23
"Kuwait, Shuwaikh",68.74,73.17,73.71,73.71
"Latvia, Liepaja",16.88,16.88,8.82,8.82
"Latvia, Riga",100.16,98.91,99.07,92.98
